gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_005160	432649	854308	1396591	697652	488744	335125
CDIFF6300_005170	941	2135	3825	3413	2725	2097
CDIFF6300_005180	11502	27213	51282	59549	45104	21835
CDIFF6300_005190	9	23	27	35	34	20
CDIFF6300_005200	24	70	98	165	102	46
CDIFF6300_005210	452	861	1484	1080	785	497
CDIFF6300_005220	23	41	70	68	41	30
CDIFF6300_005230	117	171	310	281	198	143
CDIFF6300_005240	47	66	123	127	86	96
CDIFF6300_005250	153	238	381	218	155	136
CDIFF6300_005260	172	244	361	169	111	126
CDIFF6300_005270	518	768	1349	775	525	518
CDIFF6300_005280	11	11	16	14	10	9
CDIFF6300_005290	176	240	427	209	138	124
CDIFF6300_005300	138	177	364	180	150	100
CDIFF6300_005310	459	538	1076	600	425	305
CDIFF6300_005320	42	75	126	92	84	75
CDIFF6300_005330	28	42	84	50	26	45
CDIFF6300_005340	374	542	957	626	457	377
CDIFF6300_005350	185	247	472	459	347	253
CDIFF6300_005360	6	15	15	18	10	6
CDIFF6300_005370	225	302	519	343	205	184
CDIFF6300_005380	144	196	439	247	153	168
CDIFF6300_005390	2875	5074	9528	6248	5003	2932
CDIFF6300_005400	763	1062	1791	1282	927	771
CDIFF6300_005410	58	91	156	83	56	63
CDIFF6300_005420	70	106	182	110	104	67
CDIFF6300_005430	14	13	32	25	28	13
CDIFF6300_005440	0	2	4	11	15	15
CDIFF6300_005450	255	461	827	609	437	179
CDIFF6300_005460	6	27	37	35	23	13
CDIFF6300_005470	3	8	21	6	5	7
CDIFF6300_005480	6	8	14	17	17	7
CDIFF6300_005490	42	46	111	48	53	34
CDIFF6300_005500	43	66	115	76	76	71
CDIFF6300_005510	96	150	263	189	158	103
CDIFF6300_005520	26	38	65	44	31	15
CDIFF6300_005530	0	0	1	0	2	0
CDIFF6300_005540	19	15	66	39	20	5
CDIFF6300_005550	3	3	8	1	2	1
CDIFF6300_005560	1080	1702	3278	2354	1649	1374
CDIFF6300_005570	31	80	152	104	58	49
CDIFF6300_005580	0	0	0	0	0	0
CDIFF6300_005590	47	86	187	139	78	68
CDIFF6300_005600	87	99	202	151	157	131
CDIFF6300_005610	1274	2577	4700	5040	4058	2099
CDIFF6300_005620	156	242	775	355	377	164
CDIFF6300_005630	44	96	162	99	89	78
CDIFF6300_005640	11	21	21	29	13	7
CDIFF6300_005650	5	8	13	9	6	4
CDIFF6300_005660	122	118	170	115	68	71
CDIFF6300_005670	24	30	54	32	21	18
CDIFF6300_005680	80	99	175	109	88	57
CDIFF6300_005690	34	46	86	70	39	38
CDIFF6300_005700	5	7	15	17	7	19
CDIFF6300_005710	46	62	107	81	39	44
CDIFF6300_005720	2	3	13	4	4	1
CDIFF6300_005730	4	22	49	74	43	26
CDIFF6300_005740	293	508	822	687	509	275
CDIFF6300_005750	695	1306	2228	1508	1276	665
CDIFF6300_005760	313	523	1119	916	781	317
CDIFF6300_005770	49	81	133	185	166	117
CDIFF6300_005780	163	345	478	601	500	362
CDIFF6300_005790	5	13	29	28	8	10
CDIFF6300_005800	0	1	1	1	0	0
CDIFF6300_005810	8	17	17	27	15	12
CDIFF6300_005820	14	30	46	23	24	6
CDIFF6300_005830	96	177	336	178	125	90
CDIFF6300_005840	54	111	228	186	152	86
CDIFF6300_005850	30	37	100	78	75	36
CDIFF6300_005860	4	16	27	27	15	9
CDIFF6300_005870	2	0	4	0	2	1
CDIFF6300_005880	3	2	8	13	3	3
CDIFF6300_005890	19	61	100	108	87	36
CDIFF6300_005900	0	0	3	2	0	2
CDIFF6300_005910	14	49	66	104	67	31
CDIFF6300_005920	48	93	153	212	131	84
CDIFF6300_005930	151	310	491	492	375	254
CDIFF6300_005940	24	61	118	121	91	74
CDIFF6300_005950	1	6	14	21	19	12
CDIFF6300_005960	5	15	19	31	19	10
CDIFF6300_005970	24	82	144	187	109	56
CDIFF6300_005980	12	24	53	38	33	34
CDIFF6300_005990	34	79	210	193	102	39
CDIFF6300_006000	3	4	18	21	10	7
CDIFF6300_006010	14	22	56	50	37	26
CDIFF6300_006020	45	61	111	59	64	38
CDIFF6300_006030	60	102	134	99	71	70
CDIFF6300_006040	132	210	396	358	274	244
CDIFF6300_006050	224	400	793	759	573	358
CDIFF6300_006060	2	3	11	11	4	1
CDIFF6300_006070	0	0	0	0	0	0
CDIFF6300_006080	31	88	100	94	68	32
CDIFF6300_006090	5	5	9	12	15	5
CDIFF6300_006100	2981	4978	8502	6311	5101	3036
CDIFF6300_006110	4	4	32	33	25	7
CDIFF6300_006120	614	1285	3036	1603	1181	552
CDIFF6300_006130	61	91	108	52	57	41
CDIFF6300_006140	26	52	90	52	49	33
CDIFF6300_006150	37	60	78	79	60	46
CDIFF6300_006160	149	251	297	233	188	133
CDIFF6300_006170	281	386	620	400	318	214
CDIFF6300_006180	858	1417	2256	1922	1576	1027
CDIFF6300_006190	0	0	0	0	0	0
CDIFF6300_006200	0	0	0	0	0	0
CDIFF6300_006210	0	0	0	0	0	0
CDIFF6300_006220	0	0	0	0	0	0
CDIFF6300_006230	0	0	0	0	0	0
CDIFF6300_006240	0	0	0	0	0	0
CDIFF6300_006250	0	0	0	0	0	0
CDIFF6300_006260	0	0	0	0	0	0
CDIFF6300_006270	0	0	0	0	0	0
CDIFF6300_006280	0	0	0	0	0	0
CDIFF6300_006290	0	0	0	0	0	0
CDIFF6300_006300	0	0	0	0	0	0
CDIFF6300_006310	0	0	0	0	0	0
CDIFF6300_006320	0	0	0	0	0	0
CDIFF6300_006330	0	0	0	0	0	0
CDIFF6300_006340	0	0	0	0	0	0
CDIFF6300_006350	0	0	0	0	0	0
CDIFF6300_006360	0	0	0	0	0	0
CDIFF6300_006370	0	0	0	0	0	0
CDIFF6300_006380	0	0	0	0	0	0
CDIFF6300_006390	0	0	0	0	0	0
CDIFF6300_006400	0	0	0	0	0	0
CDIFF6300_006410	0	0	0	0	0	0
CDIFF6300_006420	9	13	26	19	9	14
CDIFF6300_006430	23022	45616	54727	40205	33622	23905
CDIFF6300_006440	816	1738	2836	2070	1509	819
CDIFF6300_006450	78	300	387	444	358	196
CDIFF6300_006460	15	30	44	35	25	14
CDIFF6300_006470	20	48	95	68	53	25
CDIFF6300_006480	30596	60844	113298	97159	76522	30445
CDIFF6300_006490	203	384	683	634	471	286
CDIFF6300_006500	221	440	747	626	490	285
CDIFF6300_006510	2	3	12	22	24	9
CDIFF6300_006520	5	22	28	60	49	24
CDIFF6300_006530	52	87	211	174	131	69
CDIFF6300_006540	38	130	162	325	217	79
CDIFF6300_006550	19	48	78	184	143	69
CDIFF6300_006560	1	1	5	18	18	5
CDIFF6300_006570	208	555	1066	1113	831	403
CDIFF6300_006580	22	55	100	133	97	53
CDIFF6300_006590	32	48	113	163	123	39
CDIFF6300_006600	3	3	9	12	8	11
